Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;Libell_d_acheminement;coordonnees_gps
14500;PIERREFITTE EN AUGE;14130;;PIERREFITTE EN AUGE;PIERREFITTE EN AUGE;49.254911944,0.200274296558
14509;PLUMETOT;14440;;PLUMETOT;PLUMETOT;49.2775537071,-0.361463362906
14510;LA POMMERAYE;14690;;LA POMMERAYE;LA POMMERAYE;48.9094040854,-0.41548285835
14515;PORT EN BESSIN HUPPAIN;14520;;PORT EN BESSIN HUPPAIN;PORT EN BESSIN HUPPAIN;49.3396014282,-0.772708434394
14516;POTIGNY;14420;;POTIGNY;POTIGNY;48.9706322834,-0.247353467356
14528;QUETTEVILLE;14130;;QUETTEVILLE;QUETTEVILLE;49.3419911166,0.300133346216
14534;REUX;14130;;REUX;REUX;49.276489057,0.153456757288
14538;CASTINE EN PLAINE;14540;ROCQUANCOURT;CASTINE EN PLAINE;CASTINE EN PLAINE;49.0957571442,-0.317250308981
14554;LE CASTELET;14540;GARCELLES SECQUEVILLE;LE CASTELET;LE CASTELET;49.0816169321,-0.286022666698
14557;ST ARNOULT;14800;;ST ARNOULT;ST ARNOULT;49.3316309924,0.0895728543881
14562;ST AUBIN SUR MER;14750;;ST AUBIN SUR MER;ST AUBIN SUR MER;49.3224328819,-0.39282763592
14566;ST CONTEST;14280;;ST CONTEST;ST CONTEST;49.2154597119,-0.400916151699
14570;VALORBIQUET;14290;LA CHAPELLE YVON;VALORBIQUET;VALORBIQUET;49.0508380133,0.301847275517
14570;VALORBIQUET;14290;TORDOUET;VALORBIQUET;VALORBIQUET;49.0508380133,0.301847275517
14576;VAL DE VIE;14140;LA BREVIERE;VAL DE VIE;VAL DE VIE;48.9587088015,0.163639221018
14576;VAL DE VIE;14140;LA CHAPELLE HAUTE GRUE;VAL DE VIE;VAL DE VIE;48.9587088015,0.163639221018
14579;SEULLINE;14310;COULVAIN;SEULLINE;SEULLINE;49.0267772033,-0.688629006888
14589;ST GERMAIN LE VASSON;14190;;ST GERMAIN LE VASSON;ST GERMAIN LE VASSON;48.9999441182,-0.301428564884
14590;STE HONORINE DE DUCY;14240;;STE HONORINE DE DUCY;STE HONORINE DE DUCY;49.1373059818,-0.785510429137
14595;ST JEAN DE LIVET;14100;;ST JEAN DE LIVET;ST JEAN DE LIVET;49.0933846739,0.242347762493
14602;ST LAMBERT;14570;;ST LAMBERT;ST LAMBERT;48.9353175641,-0.537993649074
14609;ST LOUP HORS;14400;;ST LOUP HORS;ST LOUP HORS;49.2602090731,-0.730457240474
14610;ST MANVIEU NORREY;14740;;ST MANVIEU NORREY;ST MANVIEU NORREY;49.1866187514,-0.500649105973
14630;ST MARTIN DES ENTREES;14400;;ST MARTIN DES ENTREES;ST MARTIN DES ENTREES;49.2574506991,-0.664949215648
14643;ST PAUL DU VERNAY;14490;;ST PAUL DU VERNAY;ST PAUL DU VERNAY;49.1967624116,-0.756637653868
14654;ST PIERRE EN AUGE;14140;STE MARGUERITE DE VIETTE;ST PIERRE EN AUGE;ST PIERRE EN AUGE;49.0158504483,-0.0407749520168
14654;ST PIERRE EN AUGE;14140;VIEUX PONT EN AUGE;ST PIERRE EN AUGE;ST PIERRE EN AUGE;49.0158504483,-0.0407749520168
14654;ST PIERRE EN AUGE;14170;BRETTEVILLE SUR DIVES;ST PIERRE EN AUGE;ST PIERRE EN AUGE;49.0158504483,-0.0407749520168
14654;ST PIERRE EN AUGE;14170;ECOTS;ST PIERRE EN AUGE;ST PIERRE EN AUGE;49.0158504483,-0.0407749520168
14654;ST PIERRE EN AUGE;14170;GARNETOT;ST PIERRE EN AUGE;ST PIERRE EN AUGE;49.0158504483,-0.0407749520168
14654;ST PIERRE EN AUGE;14170;MONTPINCON;ST PIERRE EN AUGE;ST PIERRE EN AUGE;49.0158504483,-0.0407749520168
14658;NOUES DE SIENNE;14380;CHAMP DU BOULT;NOUES DE SIENNE;NOUES DE SIENNE;48.8217597918,-1.04661139436
14658;NOUES DE SIENNE;14380;COURSON;NOUES DE SIENNE;NOUES DE SIENNE;48.8217597918,-1.04661139436
14658;NOUES DE SIENNE;14380;MESNIL CLINCHAMPS;NOUES DE SIENNE;NOUES DE SIENNE;48.8217597918,-1.04661139436
14659;ST SYLVAIN;14190;;ST SYLVAIN;ST SYLVAIN;49.0531521208,-0.215598170882
14682;SURVILLE;14130;;SURVILLE;SURVILLE;49.3028988613,0.223364343411
14684;TESSEL;14250;;TESSEL;TESSEL;49.1509531087,-0.568040470496
14689;LE HOM;14220;HAMARS;LE HOM;LE HOM;48.9864514562,-0.485109067102
14692;TILLY SUR SEULLES;14250;;TILLY SUR SEULLES;TILLY SUR SEULLES;49.1718691291,-0.62341766889
14706;TOURVILLE EN AUGE;14130;;TOURVILLE EN AUGE;TOURVILLE EN AUGE;49.3197258498,0.195138987607
14712;SALINE;14670;TROARN;SALINE;SALINE;49.191539378,-0.183683620831
14713;MONTILLIERES SUR ORNE;14210;GOUPILLIERES;MONTILLIERES SUR ORNE;MONTILLIERES SUR ORNE;49.0488456416,-0.479036744908
14713;MONTILLIERES SUR ORNE;14210;TROIS MONTS;MONTILLIERES SUR ORNE;MONTILLIERES SUR ORNE;49.0488456416,-0.479036744908
14721;VACOGNES NEUILLY;14210;NEUILLY LE MALHERBE;VACOGNES NEUILLY;VACOGNES NEUILLY;49.085434169,-0.534237961822
14726;VALDALLIERE;14350;MONTCHAMP;VALDALLIERE;VALDALLIERE;48.8636010778,-0.658303472061
14726;VALDALLIERE;14410;BURCY;VALDALLIERE;VALDALLIERE;48.8636010778,-0.658303472061
14726;VALDALLIERE;14410;LE THEIL BOCAGE;VALDALLIERE;VALDALLIERE;48.8636010778,-0.658303472061
14726;VALDALLIERE;14410;PRESLES;VALDALLIERE;VALDALLIERE;48.8636010778,-0.658303472061
14726;VALDALLIERE;14410;VIESSOIX;VALDALLIERE;VALDALLIERE;48.8636010778,-0.658303472061
14739;VER SUR MER;14114;;VER SUR MER;VER SUR MER;49.3338501523,-0.528813485245
14740;LA VESPIERE FRIARDEL;14290;FRIARDEL;LA VESPIERE FRIARDEL;LA VESPIERE FRIARDEL;49.0111903523,0.424749958219
14740;LA VESPIERE FRIARDEL;14290;LA VESPIERE;LA VESPIERE FRIARDEL;LA VESPIERE FRIARDEL;49.0111903523,0.424749958219
14743;VICTOT PONTFOL;14430;;VICTOT PONTFOL;VICTOT PONTFOL;49.1680232284,-0.00948313586649
14744;VIENNE EN BESSIN;14400;;VIENNE EN BESSIN;VIENNE EN BESSIN;49.2812059817,-0.627760995032
